#+-----------------------------------------------------------------------------------+
#|                                                                                   |
#| Generated by SLEC-2023.2/1056505  (Jul 18 2023)  linux64  S2307180103             |
#| on Sun Mar 24 15:39:26 2024.                                                      |
#|                                                                                   |
#| Restrictions concerning the use of Siemens SLEC                                   |
#| are covered in the license agreement. Distribution to third party                 |
#| is strictly prohibited.                                                           |
#|                                                                                   |
#+-----------------------------------------------------------------------------------+

     [CPT-RBDF]   Reading SystemC files into the 'spec' design library.
     [UI-BDS]     CPU usage after read_cpp = 8.228u 1.106s 9.334 0:14.000
     [UI-BDS]     MEM usage after read_cpp = 172.451m 342.922p
     [UI-BDS]     CPU usage after align_column_number = 8.541u 1.133s 9.675 0:14.000
     [UI-BDS]     MEM usage after align_column_number = 172.079m 342.922p
     [UI-BDS]     CPU usage after assign_branch_numbers = 8.542u 1.134s 9.675 0:14.000
     [UI-BDS]     MEM usage after assign_branch_numbers = 172.080m 342.922p
     [UI-BDS]     CPU usage after ignore_system_header_io = 9.068u 1.134s 10.202 0:15.000
     [UI-BDS]     MEM usage after ignore_system_header_io = 172.948m 342.922p
     [UI-BDS]     CPU usage after handle_variadic_function = 9.095u 1.134s 10.228 0:15.000
     [UI-BDS]     MEM usage after handle_variadic_function = 173.072m 342.922p
     [UI-BDS]     CPU usage after handle_variadic_template = 9.121u 1.134s 10.255 0:15.000
     [UI-BDS]     MEM usage after handle_variadic_template = 173.073m 342.922p
     [UI-BDS]     CPU usage after remove_init_for_symbolic_memories = 9.152u 1.134s 10.286 0:15.000
     [UI-BDS]     MEM usage after remove_init_for_symbolic_memories = 173.074m 342.922p
     [UI-BDS]     CPU usage after dissolve_init_repeats = 9.167u 1.134s 10.301 0:15.000
     [UI-BDS]     MEM usage after dissolve_init_repeats = 173.079m 342.922p
     [UI-BDS]     CPU usage after handle_builtins = 9.167u 1.134s 10.301 0:15.000
     [UI-BDS]     MEM usage after handle_builtins = 173.080m 342.922p
     [UI-BDS]     CPU usage after cross_file_link = 9.219u 1.134s 10.353 0:15.000
     [UI-BDS]     MEM usage after cross_file_link = 173.147m 342.922p
     [UI-BDS]     CPU usage after canonize_cpt_for_cpp = 9.457u 1.134s 10.592 0:15.000
     [UI-BDS]     MEM usage after canonize_cpt_for_cpp = 173.945m 342.922p
     [UI-BDS]     CPU usage after add_missing_default_branch = 9.458u 1.134s 10.592 0:15.000
     [UI-BDS]     MEM usage after add_missing_default_branch = 173.945m 342.922p
     [UI-BDS]     CPU usage after mark_loop_as_unroll_in_compiler_generated_functions = 9.475u 1.134s 10.609 0:15.000
     [UI-BDS]     MEM usage after mark_loop_as_unroll_in_compiler_generated_functions = 173.945m 342.922p
     [UI-BDS]     CPU usage after mark_loop_in_acinit_array_as_unrolled = 9.495u 1.135s 10.630 0:15.000
     [UI-BDS]     MEM usage after mark_loop_in_acinit_array_as_unrolled = 173.946m 342.922p
     [UI-BDS]     CPU usage after handle_smart_pointers = 9.549u 1.135s 10.684 0:15.000
     [UI-BDS]     MEM usage after handle_smart_pointers = 173.946m 342.922p
     [UI-BDS]     CPU usage after handle_systemc_constructs = 10.697u 1.160s 11.857 0:17.000
     [UI-BDS]     MEM usage after handle_systemc_constructs = 163.289m 342.922p
     [UI-BDS]     CPU usage after handle_ac_sc_constructs_natively = 11.212u 1.165s 12.377 0:17.000
     [UI-BDS]     MEM usage after handle_ac_sc_constructs_natively = 163.219m 342.922p
     [UI-BDS]     CPU usage after const_fold = 11.237u 1.165s 12.402 0:17.000
     [UI-BDS]     MEM usage after const_fold = 163.216m 342.922p
     [UI-BDS]     CPU usage after handle_user_cover = 11.251u 1.165s 12.416 0:17.000
     [UI-BDS]     MEM usage after handle_user_cover = 163.216m 342.922p
     [UI-BDS]     CPU usage after xform_user_asserts = 11.293u 1.165s 12.458 0:17.000
     [UI-BDS]     MEM usage after xform_user_asserts = 163.217m 342.922p
     [UI-BDS]     CPU usage after transform_seed_branch_coverage_targets = 11.293u 1.165s 12.458 0:17.000
     [UI-BDS]     MEM usage after transform_seed_branch_coverage_targets = 163.217m 342.922p
     [UI-BDS]     CPU usage after compute_struct_or_union_size = 11.317u 1.165s 12.482 0:18.000
     [UI-BDS]     MEM usage after compute_struct_or_union_size = 163.569m 342.922p
     [UI-BDS]     CPU usage after handle_bitset = 11.357u 1.166s 12.522 0:18.000
     [UI-BDS]     MEM usage after handle_bitset = 163.569m 342.922p
     [UI-BDS]     CPU usage after transform_std_function = 11.409u 1.166s 12.575 0:18.000
     [UI-BDS]     MEM usage after transform_std_function = 163.575m 342.922p
     [UI-BDS]     CPU usage after convert_std_fpoint_func_to_builtins = 11.466u 1.166s 12.632 0:18.000
